"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"184",2373,472000,0,0,0,205000,420000,6200,1103200,685360,90000,0,0,0,2000,0,0,775360,1.42282294676021
"185",2390,2102600,0,0,0,0,0,4000,2106600,548860,160000,0,0,0,40000,8000,0,708860,2.97181389837203
"186",2393,3600,-3550,495000,24000,0,0,0,519050,170820,16400,0,0,0,1000,0,0,187220,2.77240679414592
"187",2394,223000,-4620,0,0,0,0,0,218380,281580,0,0,0,0,0,0,0,281580,0.775552240926202
"188",2397,522000,-13500,0,0,0,0,700,509200,114140,0,0,0,0,800,3200,0,114140,4.46118801471877
"189",2398,305000,0,2e+05,0,0,0,0,505000,252980,34200,0,0,0,10000,800,0,287180,1.75847900271607
"190",2401,190000,9500,0,0,0,0,0,199500,142740,4650,0,0,0,5000,0,0,147390,1.35355180134337
"191",2409,15750,12100,3e+05,0,0,0,0,327850,249600,25980,0,49300,113348,15984,150000,162648,438228,0.748126545998886
"192",2411,205000,-4998,130000,0,60000,24000,250000,664002,152880,35600,1635,56710,0,58000,15845,58345,246825,2.69017319963537
"193",2415,0,1700,4e+05,1000,0,0,0,402700,202020,30630,0,0,4700,30000,0,4700,237350,1.69665051611544
"194",2419,0,-8500,117000,72000,13065,0,4800,198365,235820,0,0,20500,0,20000,0,20500,256320,0.773895911360799
"195",2420,182000,3220,0,6400,14300,0,1600,207520,270920,11000,0,0,0,12000,0,0,281920,0.736095346197503
"196",2424,2e+05,29500,4e+05,48000,0,0,140000,817500,296400,62740,0,0,0,0,0,0,359140,2.27627109205324
"197",2427,837410,-44300,-9e+05,0,9500,0,7000,-90390,692120,0,0,35000,0,40000,0,35000,727120,-0.124312355594675
"198",2434,150000,-12000,442600,0,45000,0,120000,745600,255320,18000,0,0,0,7000,0,0,273320,2.72793794819259
"199",2436,38000,-27800,65000,0,0,0,1000,76200,468260,18200,0,42100,0,140000,0,42100,528560,0.144165279249281
"200",2437,0,-2300,0,96000,0,0,17000,110700,194480,0,0,1020,0,20,0,1020,195500,0.566240409207161
"201",2438,24800,3500,96000,0,0,0,30500,154800,365560,26580,0,0,0,500,0,0,392140,0.394756974549906
"202",2441,940000,0,0,0,310000,0,92500,1342500,907296,110700,0,0,0,20000,0,0,1017996,1.31876746077588
